Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:33:39)
RNA_float_set: NodeSocket.default_value not found.
Fra:1 Mem:76.63M (Peak 76.63M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.032
Fra:1 Mem:76.64M (Peak 76.64M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.033
Fra:1 Mem:76.64M (Peak 76.64M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.035
Fra:1 Mem:76.65M (Peak 76.65M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.037
Fra:1 Mem:76.65M (Peak 76.65M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.038
Fra:1 Mem:76.66M (Peak 76.66M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.042
Fra:1 Mem:76.66M (Peak 76.66M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.044
Fra:1 Mem:76.66M (Peak 76.66M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.045
Fra:1 Mem:76.66M (Peak 76.66M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.047
Fra:1 Mem:76.66M (Peak 76.66M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.048
Fra:1 Mem:76.66M (Peak 76.66M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.049
Fra:1 Mem:76.67M (Peak 76.67M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.050
Fra:1 Mem:76.67M (Peak 76.67M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.051
Fra:1 Mem:76.67M (Peak 76.67M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.052
Fra:1 Mem:76.67M (Peak 76.67M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.053
Fra:1 Mem:76.68M (Peak 76.68M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.054
Fra:1 Mem:76.68M (Peak 76.68M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.056
Fra:1 Mem:76.68M (Peak 76.68M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.057
Fra:1 Mem:76.68M (Peak 76.68M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.058
Fra:1 Mem:76.68M (Peak 76.68M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.059
Fra:1 Mem:76.68M (Peak 76.68M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.060
Fra:1 Mem:76.69M (Peak 76.69M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.061
Fra:1 Mem:76.69M (Peak 76.69M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.063
Fra:1 Mem:76.69M (Peak 76.69M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.064
Fra:1 Mem:76.69M (Peak 76.69M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.065
Fra:1 Mem:76.69M (Peak 76.69M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.066
Fra:1 Mem:76.69M (Peak 76.69M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.067
Fra:1 Mem:76.70M (Peak 76.70M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.070
Fra:1 Mem:76.70M (Peak 76.70M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.071
Fra:1 Mem:76.70M (Peak 76.70M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.072
Fra:1 Mem:76.70M (Peak 76.70M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.074
Fra:1 Mem:76.71M (Peak 76.71M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.075
Fra:1 Mem:76.71M (Peak 76.71M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.076
Fra:1 Mem:76.71M (Peak 76.71M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.077
Fra:1 Mem:76.71M (Peak 76.71M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_pier
Fra:1 Mem:76.71M (Peak 76.71M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.001
Fra:1 Mem:76.72M (Peak 76.72M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.003
Fra:1 Mem:76.72M (Peak 76.72M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.004
Fra:1 Mem:76.72M (Peak 76.72M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.006
Fra:1 Mem:76.72M (Peak 76.72M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.008
Fra:1 Mem:76.73M (Peak 76.73M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.009
Fra:1 Mem:76.73M (Peak 76.73M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.010
